* Required Fields,* Trường bắt buộc
"Comment","Nội dung"
Contact Form,Form liên hệ
Contact Information,Thông tin liên hệ
Contact Us,Liên hệ với chúng tôi
Contacts,Liên hệ
Contacts Section,Section liên hệ
"Email","Email"
Email Options,Tùy chọn email
Email Sender,Người gửi email
"Email Template","Email Template"
Enable Contact Us,Bật tính năng liên hệ với chúng tôi
Name,Tên
Send Emails To,Gửi email đến
Submit,Gửi
"Telephone","Điện thoại"
"Unable to submit your request. Please, try again later",Không thể gửi yêu cầu của bạn. Vui lòng thử lại sau.
Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.,Yêu cầu của bạn đã được gửi. Chúng tôi sẽ trả lời bạn sớm nhất có thể. Rất cám ơn bạn đã liên hệ với chúng tôi.
"Today's Deal","Khuyến mãi hôm nay"
"Recent Deals","Những khuyến mãi trước"
"How it works","Hướng dẫn sử dụng"
"Business","Chúng tôi là ai"
"For Businesses","Dành cho doanh nghiệp"
"Contact us","Liên hệ"
"Contact Us","Liên hệ"
"TODAY'S DEAL","Khuyến mãi hôm nay"
"RECENT DEALS","Những khuyến mãi trước"
"HOW IT WORKS","Hướng dẫn sử dụng"
"BUSINESS","Dành cho doanh nghiệp"
"CONTACT US","Liên hệ"
"No Deal Available","Không có khuyến mãi nào"

"Refer a Friend: Get $"," Giới thiệu với bạn bè: Nhận $"
"Refer a Friend","Giới thiệu với bạn bè"
"Friend's Name","Tên người bạn"
"Friend's Email","E-mail người bạn"
"Message Subject","Tiêu đề thông điệp"
"Message Text","Nội dung thông điệp"
"Hi, I thought it might interest you.","Xin chào, tớ có một điều thú vị muốn giới thiệu cho cậu."
"My Account","Tài khoản của tôi"
"Account Login","Tên tài khoản"
"Account Password","Mật khẩu"
"My Dashboard","Bảng điều khiển"
"Ship To","Địa chỉ nhận"
"Address Book","Sổ danh bạ"
"Referred Friends","Bạn bè đã giới thiệu"

"Visit More Cities","Chọn thành phố khác"
"Daily Deals On the Best in",""
"Enter your email address here...","Nhập e-mail của bạn ..."
"Select your City","Chọn thành phố"
"Sign In","Đăng nhập"
"or","hoặc"
"Today's Deal: ",""
"Value","Giá trị"
"Discount","Giảm"
"Save value","Tiết kiệm"
"Buy it for a friend!","Mua tặng bạn bè"
"bought","người mua"
" more needed to get the deal"," người mua nữa để khuyến mãi có hiệu lực"
"Deal Achieved! Keep Buying!","Vẫn còn mua được!"
"Time Left To Buy","Thời gian còn lại"
"HOURS","GIỜ"
"MINUTES","PHÚT"
"SECONDS","GIÂY"
"Spread it!","Chia sẻ!"
"The Fine Print","Điều khoản sử dụng"
"Highlights","Điểm nổi bật"
"Deal Description","Mô tả chương trình"
"The Company","Bản đồ & Địa chỉ"
"Today’s Main Deal","Khuyến mãi đang diễn ra"
"Discuss the Deal","Thảo luận"
"Be the First to Comment","Viết bình luận đầu tiên"
"Comments","bình luận về khuyến mãi"
"Join the discussion","Tham gia thảo luận"
"Today's Side Deal","Khuyến mãi sắp hết hạn"
"Follow Us On",""
"Savings:","Tiết kiệm"
"Mandatory","Bắt buộc"
"Any Questions? Use this form to contact us. Our representative will get back to you","Bạn muốn hỏi gì? Sử dụng mẫu này để liên hệ với chúng tôi, chúng tôi sẽ trả lời bạn sớm nhất có thể"
"Please enter your Full name","Xin hãy nhập tên đầy đủ"
"So we can get back to you",""
"Please enter the details of your request and we'll respond as quickly as possible","Xin hãy nhập cụ thể yêu cầu của bạn chúng tôi sẽ trả lời sớm nhất có thể"

"Login or Create an Account","Đăng nhập hoặc Đăng ký"
"New Customers","Khách hàng mới"
"By creating an Account, you will be able to proceed with the checkout process faster, store multiple shipping addresses, view and track your orders in your account and lot more",""
"Registered Customers","Khách hàng đã đăng ký"
"If you have an Account with us, Please Login","Nếu bạn đã có mật khẩu xin vui lòng đăng nhập"
"Forgot Your Password?","Quên mật khẩu?"

"Buy this for your Friend!","Mua tặng bạn bè!"
"Fill in the Form to Gift your Friend!","Điền thông tin theo mẫu"
"Friend's Name","Tên người bạn"
"Your Name","Tên bạn"
"Friend's Email Address","Địa chỉ e-mail của người bạn"
"Are you sure you want to delete?","Bạn có chắc muốn xóa"
"Grand Total: ","Tổng giá trị"
"Checkout","Thanh toán"
"Thank you for your Deal!","Cảm ơn bạn vì khuyến mãi này"
"Your Deal # is: ","Khuyến mãi của bạn # là"
"You will receive an Email stating the details of your Deal and a Link to track its Progress...","Bạn sẽ nhận được một email ghi rõ các chi tiết khuyến mãi của bạn và một liên kết để bạn theo dõi tiến độ của nó ..."
"Continue Shopping","Tiếp tục mua"
"Login","Đăng nhập"
"Subscribe","Đăng ký nhận thư"
"Create an Account","Tạo tài khoản mới"
"Date of Birth","Ngày sinh"
"Gender","Giới tính"
"Male","Nam"
"Female","Nữ"
"Register to Create an Account","Đăng ký tài khoản mới"
"Checkout Method","Đăng nhập hoặc Đăng ký để bắt đầu đặt mua"
"Login","Đăng nhập"
"Register with us for future convenience:","Đăng ký với chúng tôi để tiện hơn trong tương lai:"
"Please log in below:","Thông tin đăng nhập:"
"Login or Create an Account ","Đăng nhập hoặc Tạo tài khoản mới"
"Maximum one item to add the shopping cart.","Tối đa chỉ được 1 loại khuyến mãi trong giỏ hàng. Xin vui lòng Thanh toán hoặc bấm nút X để Gỡ bỏ nếu muốn mua khuyến mãi khác."
"You have no items in your shopping cart.","Không có khuyến mãi nào trong giỏ hàng của bạn"
"Friend's name","Tên người bạn"
"Friend's email","Email người bạn"
"Message subject","Tiêu đề lời nhắn"
"Message text","Nội dung"
"You have no referred friends.","Rủ Nhau đang phát triển chức năng này, xin vui lòng quay lại sau."
"Share the link with your friends:","Chia sẻ link này đến bạn bè của bạn:"
"Any Questions? Use this form to contact us. Our representative will get back to you.","Bất cứ yêu cầu gì, xin hãy dùng mẫu dưới đây để liên hệ với chúng tôi, chúng tôi sẽ liên hệ lại ngay với bạn."
"please enter your full name","xin hãy nhập đầy đủ họ tên"
"Please enter the details of the request we will respond as quickly as possible.","Nội dung ngắn gọn cụ thể để chúng tôi có thể giúp bạn được nhanh hơn."
"Enter the code","Nhập mã bảo vệ"
"Please enter the code, which is used for spam filter.","Xin vui lòng nhập 2 từ vào ô dưới"
"Save in address book","Lưu vào sổ địa chỉ"
"Buy Options","Tùy chọn mua"
"Fill out the form below and give the gift!","Điền những thông tin dưới đây để tặng khuyến mãi này cho bạn bè"
"Friend Name","Tên người bạn"
"Friend Email Address","Email người bạn"
"This email address was not found in our records.","Không tìm thấy email này trong danh sách khách hàng"
"Confirmation request has been sent.","Thông tin đã được gửi đi thành công."
