"Referral Program","Referral Program"
"Show referral link","Show referral link"
"Select email template (Referral subscribe)","Select email template (Referral subscribe)"
"Select email template (Referral confirm)","Select email template (Referral confirm)"
"Points earned because a referral signed up","Points earned because a referral signed up"
"Points earned because a referral made his/her first order","Points earned because a referral made his/her first order"
"Points earned as a percentage of a referral's order","Points earned as a percentage of a referral's order"
"Subscription","Subscription"
"Confirmation","Confirmation"
"My Referrals","My Referrals"
"Show refer a friend link in user account.","Show refer a friend link in user account."
"Signed Up","Signed Up"
"Made First Order","Made First Order"
"Message Sent","Message Sent"
"Unknown","Unknown"
"Referral makes any order","Referral makes any order"
"Fixed Amount When Referral Makes First Order","Fixed Amount When Referral Makes First Order"
"% of Points Earned By Referral","% of Points Earned By Referral"
"Fixed Amount","Fixed Amount"
"Referral makes first order","Referral makes first order"
"Referral signs up to website","Referral signs up to website"
"Please enter a valid email address.","Please enter a valid email address."
"Please enter your friend's name.","Please enter your friend's name.","Please enter your friend's name.","Please enter your friend's name."
"You or somebody else has already invited %s.","You or somebody else has already invited %s."
"%s is your own e-mail address.","%s is your own e-mail address."
"%s is already signed up to the store.","%s is already signed up to the store."
"This email was successfully invited.","This email was successfully invited."
"There was a problem with the invitation.","There was a problem with the invitation."
"%s","%s"
"Referrals","Referrals"
"No referral","No referral"
"Points were successfully saved","Points were successfully saved"
"Unable to save","Unable to save"
"Referral was successfully deleted","Referral was successfully deleted"
"Please select referrals","Please select referrals"
"%d referral(2) successfully deleted","%d referral(2) successfully deleted"
"ID","ID"
"Customer Name","Customer Name"
"Referral Name","Referral Name"
"Referral Email","Referral Email"
"Status","Status"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Customer Referrals","Customer Referrals"
"Referral Program","Referral Program"
"You could up to %s for when your referral signs up.","You could up to %s for when your referral signs up."
"You could up to %s for when your referral makes their first order.","You could up to %s for when your referral makes their first order."
"Refer a friend","Refer a friend"
"Friend's name *","Friend's name *"
"Friend's email address *","Friend's email address *"
"Short Message","Short Message"
"* Required Fields","* Required Fields"
"Back","Back"
"Send","Send"
"Referrals","Referrals"
"Full Name","Full Name"
"Email","Email"
"e-mail","e-mail"
"Registered?","Registered?"
"Status","Status"
"Accumulated Earnings","Accumulated Earnings"
"yes","yes"
"no","no"
"You haven't invited any friend.","You haven't invited any friend."