"SKU","khẩu số sản phẩm"
"Category","Ngành hàng"
"Please select static block ...","Hãy chọn khối tĩnh…"
"Static block and products","Khối tĩnh và Sản phẩm"
"Go to Home Page","Trở về trang chủ"
"Images","Hình"
"Small Image","Hình nhỏ"
"Products only","Chỉ cho Sản phẩm"
"Meta Keywords","Từ khóa Meta"
"Data integrity: No header row found for attribute","Toàn vẹn dữ liệu: Không có dòng tiêu đề cho thuộc tính"
"Page Title","Tựa trang"
"Status","Trạng thái"
"Description","Mô tả"
"Cannot retrieve current category object","Không thể lấy được đối tượng loại hiện hành"
"Tier Price","Giá theo bậc"
"Price","Giá"
"Meta Title","Tựa đề Meta"
"Static block only","Chỉ có khối tĩnh"
"Visibility","Thấy được"
"Thumbnail","Thumbnail"
"Filter model name must be declared","Tên mẫu lọc phải được thông báo"
"Filter must be as object. Set correct filter please","Bộ lọc phải là đối tượng. Hãy đặt đúng bộ lọc"
"Base Image","Hình cơ bản"
"Prices","Giá"
"Grid","Lưới"
"Is Qty Decimal","Là số thập phân"
"Manufacturer","Nhà sản xuất"
"Page Layout","Bố cục trang"
"Best Value","Giá trị nhất"
"Name","Tên"
"Invalid Attribute Requested","Yêu cầu thuộc tính không hợp lệ"
"Meta Description","Mô tả Meta"
"Short Description","Mô tả vắn tắt"
"Is Anchor","Là mấu neo"
"List","Danh sách"
"Filters must be as array","Bộ lọc phải là mảng"
"Meta Information","Thông tin Meta"
"No layout updates","Không có cập nhật sơ đồ"
"General","Tổng quát"
"Compare Products List","So sánh Danh sách Sản phẩm"
"Invalid block: %s","Khối không hợp lệ: %s"
"CMS Block","Khối CMS"
"Attribute source ""%s"" not found","Không có nguồn thuộc tính ""%s"" nào"
"All","Tất cả"
"Qty","Số lượng"
"Attribute model not defined","Mô hình thuộc tính không được định nghĩa"
"Weight","Trọng lượng"
"Color","Màu"
"URL key","Khóa URL"
"Image","Hình"
"Choose option...","Chọn lựa…"
"Is Active","Đang hoạt động"
"Cost","Giá thành"
"Image Gallery","Thư viện ảnh"
"Display Mode","Chế độ hiển thị"
"Attribute saver ""%s"" not found","Không có bộ lưu thuộc tính ""%s"" nào"
"Home","Trang chủ"
"Tax Class","Nhóm thuế"
"Minimal Price","Giá tối thiểu"
"Special Price","Giá đặc biệt"
"Add to Compare","Thêm để so sánh"
"Clear All Sản phẩm","Xóa hết Sản phẩm"
"Availability: In stock. Ships within 24hours.","Tình trạng: Có hàng. Vận chuyển trong 24 giờ."
"Next","Tiếp"
"Quick Overview","Tổng quan"
"Add to My Wishlist","Thêm vào Danh sách yêu thích"
"Add Sản phẩm to Cart","Bỏ vào Giỏ"
"Related Products","Sản phẩm liên quan"
"See all %s","Xem tất cả %s"
"Best Selling Products","Sản phẩm bán chạy nhất"
"Product Attribute Specs","Đặc tả thuộc tính Sản phẩm"
"Prev","Trước"
"Choose an Option...","Lựa một tuỳ chọn…"
"View as","Xem như"
"This bundle is out of stock.","Gói này đã hết hàng."
"Shopping Options","Lựa chọn mua sắm"
"Compare Products","So sánh Sản phẩm"
"Product Description","Mô tả Sản phẩm"
"Remove This Item","Gỡ bỏ mục này"
"Shop by","Mua bằng"
"More Views","Xem thêm"
"There are no products matching the selection.","Không có Sản phẩm nào ứng với lựa chọn này."
"Remove Product","Gỡ bỏ Sản phẩm"
"Product Name","Tên Sản phẩm"
"Availability: Out of stock.","Trạng thái: Hết hàng."
"Page:","Trang:"
"You have no Sản phẩm to compare.","Bạn không có Sản phẩm nào để so sánh."
"Buy %s for %s each","Mua %s giá <strong>%s mỗi Sản phẩm</strong>"
"Compare Sản phẩm","So sánh hàng"
"Zoom In","Phóng to"
"Add to Cart","Bỏ vào Giỏ"
"No options of this product are available.","Không có lựa chọn nào cho Sản phẩm này."
"Zoom Out","Thu nhỏ"
"Sản phẩm %s to %s of %s total","Sản phẩm %s đến %s trong tổng số %s"
"Regular Price:","Giá thông thường:"
"Print This Page","In trang này"
"Old Price:","Giá cũ:"
"Compare Products - %d Items","So sánh Sản phẩm - %d Sản phẩm"
"Sort by","Xếp theo"
"Availability: In stock. Ships within 24 hours.","Tình trạng: Có hàng. Vận chuyển trong vòng 24 giờ."
"Add to Wishlist","Thêm vào Danh sách mong ước"
"View Details","Xem chi tiết"
"Browse By","Duyệt theo"
"Out of Stock","Hết hàng"
"Check Sản phẩm to add to the cart or select all.","Kiểm tra các Sản phẩm để bỏ vào Giỏ hàng hoặc <a href=""#"" onclick=""selectAllRelated();return false;"">chọn hết</a>."
"Show","Hiển thị"
"per page","mỗi trang"
"Close Window","Đóng cửa sổ"
"Set Ascending Direction","Định hướng tăng lên"
"Cross-sell Products","Sản phẩm bán chéo"
"Learn More","Xem thêm"
"Category Navigation:","Duyệt Loại hàng:"
"Set Descending Direction","Định hướng giảm xuống"
"You may also be interested in the following product(s)","Bạn có thể cũng quan tâm đến những Sản phẩm sau"
"Additional Information","Thông tin thêm"
"Previous","Trước"
"Currently Shopping by","Hiện đang mua bởi"
"OR","HOẶC"
"%s Item(s)","%s Sản phẩm"
"Recently added item(s)","Sản phẩm mới được thêm vào"
"Last ordered items","Sản phẩm trong giỏ hàng trước đó"
"Compare Items","So sánh"
"Clear All","Xóa hết"
"You have no items to compare.","Không có sản phẩm nào trong giỏ hàng."
"Items %s to %s of %s total","Hiển thị từ %s → %s trong tổng số %s sản phẩm"
"Are you sure you would like to remove all products from your comparison?","Bạn có chắc là muốn xóa tất cả các sản phẩm trong bảng so sánh của bạn?"
"Are you sure you would like to remove this item from the compare products?","Bạn có chắc là muốn xóa sản phẩm này ra khỏi danh sách so sánh của bạn?"
"Short Description","Tóm tắt"
"Product %s successfully added to compare list","Sản phẩm %s đã được thêm vào danh sách so sánh"
"Change","Sửa"
"Today's Deal","Khuyến mãi hôm nay"
"Recent Deals","Những khuyến mãi trước"
"How it works","Hướng dẫn sử dụng"
"Business","Chúng tôi là ai"
"For Businesses","Dành cho doanh nghiệp"
"Contact us","Liên hệ"
"Contact Us","Liên hệ"
"TODAY'S DEAL","KHUYẾN MÃI HÔM NAY"
"RECENT DEALS","NHỮNG KHUYẾN MÃI TRƯỚC"
"HOW IT WORKS","HƯỚNG DẪN SỬ DỤNG"
"BUSINESS","DÀNH CHO DOANH NGHIỆP"
"CONTACT US","LIÊN HỆ"
"No Deal Available","Không có khuyến mãi nào"

"Refer a Friend: Get $"," Giới thiệu với bạn bè: Nhận $"
"Refer a Friend","Giới thiệu với bạn bè"
"Friend's Name","Tên người bạn"
"Friend's Email","E-mail người bạn"
"Message Subject","Tiêu đề thông điệp"
"Message Text","Nội dung thông điệp"
"Hi, I thought it might interest you.","Xin chào, tớ có một điều thú vị muốn giới thiệu cho cậu."
"My Account","Tài khoản của tôi"
"Account Login","Tên tài khoản"
"Account Password","Mật khẩu"
"My Dashboard","Bảng điều khiển"
"Ship To","Địa chỉ nhận"
"Address Book","Sổ danh bạ"
"Referred Friends","Bạn bè đã giới thiệu"

"Visit More Cities","Chọn thành phố khác"
"Daily Deals On the Best in","Deals hàng ngày tốt nhất tại"
"Enter your email address here...","Nhập e-mail của bạn ..."
"Select your City","Chọn thành phố"
"Sign In","Đăng nhập/Đăng ký"
"or","hoặc"
"Today's Deal: ",""
"Value","Giá trị"
"Discount","Giảm"
"Save value","Tiết kiệm"
"Buy it for a friend!","Mua tặng bạn bè"
"bought","đã mua"
" more needed to get the deal"," người mua nữa để khuyến mãi có hiệu lực"
"Deal Achieved! Keep Buying!","Vẫn còn mua được!"
"Time Left To Buy","Thời gian còn lại"
"HOURS","GIỜ"
"MINUTES","PHÚT"
"SECONDS","GIÂY"
"Spread it!","Chia sẻ!"
"The Fine Print","Điều khoản sử dụng"
"Highlights","Điểm nổi bật"
"Deal Description","Mô tả chương trình"
"The Company","Bản đồ & Địa chỉ"
"Today’s Main Deal","Khuyến mãi đang diễn ra"
"Discuss the Deal","Thảo luận"
"Be the First to Comment","Viết bình luận đầu tiên"
"Comments","Bình luận về khuyến mãi"
"Join the discussion","Tham gia thảo luận"
"Today's Side Deal","Khuyến mãi sắp hết hạn"
"Follow Us On","Theo đuôi"
"Any Questions? Use this form to contact us. Our representative will get back to you","Bạn có câu hỏi? Sử dụng mẫu này để liên hệ với chúng tôi, chúng tôi sẽ trả lời bạn sớm nhất có thể"
"Please enter your Full name","Xin hãy nhập tên đầy đủ"
"So we can get back to you","Để chúng tôi có thể liên lạc lại với bạn"
"Please enter the details of your request and we'll respond as quickly as possible","Xin hãy nhập cụ thể yêu cầu của bạn chúng tôi sẽ trả lời sớm nhất có thể"

"Login or Create an Account","Đăng nhập hoặc Đăng ký"
"New Customers","Khách hàng mới"
"By creating an Account, you will be able to proceed with the checkout process faster, store multiple shipping addresses, view and track your orders in your account and lot more",""
"Registered Customers","Khách hàng đã đăng ký"
"If you have an Account with us, Please Login","Nếu bạn đã có mật khẩu xin vui lòng đăng nhập"
"Forgot Your Password?","Quên mật khẩu?"

"Buy this for your Friend!","Mua tặng bạn bè!"
"Fill in the Form to Gift your Friend!","Điền thông tin theo mẫu"
"Friend's Name","Tên người bạn"
"Your Name","Tên bạn"
"Friend's Email Address","Địa chỉ e-mail của người bạn"
"Are you sure you want to delete?","Bạn có chắc muốn xóa"
"Grand Total: ","Tổng giá trị"
"Checkout","Thanh toán"
"Thank you for your Deal!","Cảm ơn bạn vì khuyến mãi này"
"Your Deal # is: ","Khuyến mãi của bạn # là"
"You will receive an Email stating the details of your Deal and a Link to track its Progress...","Bạn sẽ nhận được một email ghi rõ các chi tiết khuyến mãi của bạn và một liên kết để bạn theo dõi tiến độ của nó ..."
"Continue Shopping","Tiếp tục mua"
"Login","Đăng nhập"
"Subscribe","Đăng ký nhận thư"
"Create an Account","Tạo tài khoản mới"
"Date of Birth","Ngày sinh"
"Gender","Giới tính"
"Male","Nam"
"Female","Nữ"
"Register to Create an Account","Đăng ký tài khoản mới"
"Checkout Method","Đăng nhập hoặc Đăng ký để bắt đầu đặt mua"
"Login","Đăng nhập"
"Register with us for future convenience:","Đăng ký với chúng tôi để tiện hơn trong tương lai:"
"Please log in below:","Thông tin đăng nhập:"
"Login or Create an Account ","Đăng nhập hoặc Tạo tài khoản mới"
"Maximum one item to add the shopping cart.","Tối đa chỉ được 1 loại khuyến mãi trong giỏ hàng. Xin vui lòng Thanh toán hoặc bấm nút X để Gỡ bỏ nếu muốn mua khuyến mãi khác."
"You have no items in your shopping cart.","Không có khuyến mãi nào trong giỏ hàng của bạn"
"Friend's name","Tên người bạn"
"Friend's email","Email người bạn"
"Message subject","Tiêu đề lời nhắn"
"Message text","Nội dung"
"You have no referred friends.","Rủ Nhau đang phát triển chức năng này, xin vui lòng quay lại sau."
"Share the link with your friends:","Chia sẻ link này đến bạn bè của bạn:"
"Any Questions? Use this form to contact us. Our representative will get back to you.","Bất cứ yêu cầu gì, xin hãy dùng mẫu dưới đây để liên hệ với chúng tôi, chúng tôi sẽ liên hệ lại ngay với bạn."
"please enter your full name","xin hãy nhập đầy đủ họ tên"
"Please enter the details of the request we will respond as quickly as possible.","Nội dung ngắn gọn cụ thể để chúng tôi có thể giúp bạn được nhanh hơn."
"Enter the code","Nhập mã bảo vệ"
"Please enter the code, which is used for spam filter.","Xin vui lòng nhập 2 từ vào ô dưới"
"Save in address book","Lưu vào sổ địa chỉ"
"Buy Options","Tùy chọn mua"
"Fill out the form below and give the gift!","Điền những thông tin dưới đây để tặng khuyến mãi này cho bạn bè"
"Friend Name","Tên người bạn"
"Friend Email Address","Email người bạn"
"This email address was not found in our records.","Không tìm thấy email này trong danh sách khách hàng"
"Confirmation request has been sent.","Thông tin đã được gửi đi thành công."
